feature,importance,source
det_speed_accel_time_to_abs_peak,0.006817622951259562,extra_trees
det_vy_accel_time_to_abs_peak,0.006707877660465676,extra_trees
det_vy_norm_per_sec_p90,0.006574425826753814,extra_trees
flow_mag_mean_per_sec_time_to_abs_peak,0.00634349797303649,extra_trees
flow_mag_mean_time_to_abs_peak,0.006195085523545752,extra_trees
det_vy_norm_per_sec_mean,0.006161968661074518,extra_trees
det_speed_time_to_abs_peak,0.006103659100229054,extra_trees
flow_mag_norm_per_sec_time_to_abs_peak,0.005938533719008751,extra_trees
det_vy_norm_per_sec_time_to_abs_peak,0.005839781878163008,extra_trees
flow_mag_std_time_to_abs_peak,0.00578791957419574,extra_trees
both_detected_first,0.005611290833857956,extra_trees
det_vy_norm_per_sec_signed_auc,0.00529307299227706,extra_trees
roi_height_time_to_abs_peak,0.005211861715146103,extra_trees
det_dy_time_to_abs_peak,0.005198476191424787,extra_trees
det_speed_accel_jerk_time_to_abs_peak,0.00513072098845273,extra_trees
conf_a_first,0.004799312317154342,extra_trees
flow_mag_max_time_to_abs_peak,0.004693615385861072,extra_trees
det_vy_accel_jerk_time_to_abs_peak,0.004627031635664331,extra_trees
det_dy_mean,0.004622200568952478,extra_trees
roi_area_peak_to_mean,0.0044981740542252464,extra_trees
det_speed_start_mean,0.004428052450439776,extra_trees
flow_mag_median_time_to_abs_peak,0.004312835589879997,extra_trees
det_dy_min,0.004069920331066142,extra_trees
roi_aspect_time_to_abs_peak,0.003962863090765916,extra_trees
det_dy_signed_auc,0.0038913223481595698,extra_trees
det_speed_norm_per_sec_time_to_abs_peak,0.003859677885689178,extra_trees
det_vy_norm_per_sec_min,0.0038481954803609862,extra_trees
det_vy_norm_per_sec_p10,0.003833210049283557,extra_trees
roi_height_peak_to_mean,0.003813986275037281,extra_trees
det_vx_norm_per_sec_p25,0.0037808917586489073,extra_trees
det_dx_p25,0.003753386708714085,extra_trees
det_vy_accel_min,0.0037318945064150474,extra_trees
flow_vertical_horizontal_ratio,0.0035328071709718576,extra_trees
det_speed_norm_per_sec_p75,0.003455381930373906,extra_trees
det_speed_norm_per_sec_median,0.00344208385149293,extra_trees
det_max_upward_vy,0.0033363076111686723,extra_trees
roi_area_time_to_abs_peak,0.0033341601322221808,extra_trees
det_vy_norm_per_sec_max,0.0032634883815193857,extra_trees
flow_mag_accel_jerk_time_to_abs_peak,0.0032482522938313135,extra_trees
det_dy_p10,0.003238441692654333,extra_trees
det_down_up_ratio,0.003227042480862147,extra_trees
both_detected_time_to_abs_peak,0.0031960183110667905,extra_trees
flow_mag_std_last,0.003194022060922574,extra_trees
det_dy_p90,0.0031777186427464736,extra_trees
det_dx_p10,0.003049478416259617,extra_trees
roi_width_peak_to_mean,0.00303260548394698,extra_trees
det_vx_norm_per_sec_p10,0.0028976251444165478,extra_trees
det_max_downward_vy,0.0028853853153109187,extra_trees
det_speed_end_mean,0.0028716082757711567,extra_trees
det_speed_end_minus_start,0.0028709632060112266,extra_trees
det_speed_accel_p75,0.0028392515871998587,extra_trees
det_speed_norm_per_sec_last,0.002809363931129546,extra_trees
roi_aspect_peak_to_mean,0.0028020126906197628,extra_trees
det_dy_max,0.002772113063363819,extra_trees
det_dx_time_to_abs_peak,0.0027626282082975147,extra_trees
roi_aspect_p25,0.002757627096864559,extra_trees
det_speed_last,0.0027339157058801854,extra_trees
flow_dx_norm_per_sec_time_to_abs_peak,0.002708863815828351,extra_trees
det_vx_norm_per_sec_time_to_abs_peak,0.0026856027249790764,extra_trees
det_speed_norm_per_sec_first,0.0026562672473017593,extra_trees
flow_dx_mean_per_sec_time_to_abs_peak,0.002648759223301778,extra_trees
det_vy_accel_signed_auc,0.0026310334287027483,extra_trees
roi_aspect_median,0.002605677413229688,extra_trees
flow_mag_max_peak_to_mean,0.002570092835154779,extra_trees
det_vx_norm_per_sec_median,0.002543524876493972,extra_trees
flow_mag_std_median,0.002533374280125062,extra_trees
det_vy_norm_per_sec_slope_first_last,0.002520507829853552,extra_trees
flow_mag_std_slope_first_last,0.002519897633790419,extra_trees
det_vy_norm_per_sec_std,0.0025048466750946055,extra_trees
flow_mag_accel_time_to_abs_peak,0.00242476364204402,extra_trees
flow_mag_accel_p75,0.002414613829728354,extra_trees
det_vy_norm_per_sec_auc,0.0024135278769170697,extra_trees
conf_b_time_to_abs_peak,0.002411771434673875,extra_trees
flow_mag_std_delta,0.0023901184787000047,extra_trees
det_vy_accel_abs_max,0.0023770859658816487,extra_trees
det_vy_norm_per_sec_p25,0.0023753553208103314,extra_trees
flow_mag_std_p25,0.0023728165403516547,extra_trees
det_speed_norm_per_sec_p25,0.002370020265513884,extra_trees
det_vy_accel_range,0.0023698135405807366,extra_trees
det_vy_accel_jerk_p10,0.0023285427177146844,extra_trees
det_vy_accel_p75,0.0023277654660153434,extra_trees
det_vx_norm_per_sec_auc,0.002322782879784362,extra_trees
det_vy_norm_per_sec_abs_mean,0.0022899424285012676,extra_trees
flow_dy_norm_per_sec_signed_auc,0.0022897451253310218,extra_trees
flow_max_downward_dy,0.0022661335543660865,extra_trees
roi_area_last,0.0022467815111591872,extra_trees
det_speed_accel_p25,0.0022381385645034516,extra_trees
det_speed_first,0.0022286390614310314,extra_trees
conf_a_time_to_abs_peak,0.00222573900342832,extra_trees
roi_aspect_energy,0.0022107395668908834,extra_trees
flow_mag_std_p10,0.0022094401806906877,extra_trees
det_vy_accel_jerk_peak_to_mean,0.002191131765355818,extra_trees
det_speed_p75,0.002173651414862294,extra_trees
flow_mag_max_delta,0.00216805250664368,extra_trees
det_vertical_horizontal_ratio,0.002166937718708158,extra_trees
roi_aspect_slope_first_last,0.0021659129878348433,extra_trees
det_speed_mid_mean,0.002156085746148878,extra_trees
det_speed_norm_per_sec_peak_to_mean,0.002152542348701817,extra_trees
flow_mag_std_peak_to_mean,0.0021388332636396307,extra_trees
flow_mag_max_slope_first_last,0.0021351542548506365,extra_trees
flow_mag_max_p10,0.0021198724470711827,extra_trees
flow_dy_norm_per_sec_p75,0.0021117700258729997,extra_trees
conf_b_first,0.002099013053565604,extra_trees
det_vy_norm_per_sec_delta,0.0020762856869100577,extra_trees
det_speed_norm_per_sec_delta,0.002063046107152879,extra_trees
det_vy_norm_per_sec_peak_to_mean,0.00206003898615243,extra_trees
roi_aspect_first,0.0020598758240781873,extra_trees
roi_width_time_to_abs_peak,0.0020502795840495053,extra_trees
flow_dy_norm_per_sec_time_to_abs_peak,0.0020439497920232558,extra_trees
flow_dy_accel_jerk_signed_auc,0.0020312227503581776,extra_trees
det_vy_norm_per_sec_range,0.002028340644258871,extra_trees
det_speed_median,0.002026020922083392,extra_trees
det_vx_norm_per_sec_abs_mean,0.0020162908286048553,extra_trees
flow_dy_mean_per_sec_time_to_abs_peak,0.0020000044829062676,extra_trees
det_speed_norm_per_sec_signed_auc,0.001992301012700757,extra_trees
flow_dy_norm_per_sec_mean,0.001987838315101028,extra_trees
det_vy_norm_per_sec_p75,0.001985990304692351,extra_trees
det_vx_norm_per_sec_signed_auc,0.001982211566195212,extra_trees
det_speed_min,0.001978674983489687,extra_trees
det_speed_accel_jerk_p75,0.0019658301766991852,extra_trees
det_vy_accel_std,0.001962792137704508,extra_trees
det_speed_norm_per_sec_min,0.0019506228155800852,extra_trees
det_dx_p75,0.0019462720194568489,extra_trees
det_speed_accel_median,0.0019428035498181477,extra_trees
flow_dy_mean_per_sec_max,0.0019393117431494643,extra_trees
roi_aspect_auc,0.0019382285048836305,extra_trees
roi_width_last,0.0019375985438707705,extra_trees
flow_mag_max_last,0.0019228988939264974,extra_trees
roi_aspect_mean,0.001920256649383652,extra_trees
det_vy_accel_jerk_abs_max,0.00191688746651043,extra_trees
det_vy_norm_per_sec_abs_max,0.001909473730561784,extra_trees
flow_dy_mean_per_sec_signed_auc,0.0019039897823795392,extra_trees
det_dy_peak_to_mean,0.0018990269161916593,extra_trees
det_vx_norm_per_sec_p75,0.00189108319234479,extra_trees
flow_mag_end_mean,0.0018896340287643748,extra_trees
det_vy_accel_jerk_max,0.0018812035092258276,extra_trees
det_speed_norm_per_sec_mean,0.001879411043851903,extra_trees
conf_a_delta,0.001871790512982419,extra_trees
flow_mag_max_p25,0.0018687605816845724,extra_trees
det_vy_accel_jerk_range,0.001868049252228309,extra_trees
any_detected_first,0.0018648524533891324,extra_trees
flow_mag_std_range,0.0018481899446556676,extra_trees
det_speed_norm_per_sec_auc,0.0018478757073217863,extra_trees
det_speed_peak_to_mean,0.0018456727174731337,extra_trees
det_speed_accel_signed_auc,0.001845282496935088,extra_trees
roi_width_median,0.0018432152064001407,extra_trees
det_vy_accel_peak_to_mean,0.0018385679736230291,extra_trees
roi_height_median,0.0018262436023225275,extra_trees
roi_width_p25,0.0018147069326280296,extra_trees
det_dx_auc,0.0018122936019487265,extra_trees
flow_dy_accel_slope_first_last,0.0018062920587165803,extra_trees
conf_b_max,0.001799260028207013,extra_trees
flow_mag_std_std,0.0017735396007510504,extra_trees
flow_dy_norm_per_sec_median,0.0017710845375312357,extra_trees
roi_aspect_signed_auc,0.0017662262239037322,extra_trees
det_dy_p25,0.0017566258621280525,extra_trees
roi_height_delta,0.0017509302790773024,extra_trees
det_speed_std,0.0017494920145154854,extra_trees
det_dy_slope_first_last,0.0017462129633109,extra_trees
det_vy_accel_jerk_abs_mean,0.0017399781018615612,extra_trees
det_speed_norm_per_sec_p90,0.0017368281160514963,extra_trees
flow_mag_accel_median,0.0017338677671163132,extra_trees
flow_dy_accel_peak_to_mean,0.0017299222719349575,extra_trees
det_speed_accel_peak_to_mean,0.0017293651577343443,extra_trees
det_dy_std,0.001729179502362395,extra_trees
det_vy_accel_p90,0.0017212951445934324,extra_trees
flow_dy_mean_per_sec_p90,0.0017198512547510218,extra_trees
det_vx_norm_per_sec_first,0.0017104444279472037,extra_trees
det_dx_mean,0.001707442827605255,extra_trees
det_vy_accel_mean,0.0017072812851632643,extra_trees
flow_dx_mean_per_sec_first,0.0017032426417327594,extra_trees
flow_mag_median_peak_to_mean,0.0017004855460985985,extra_trees
flow_mag_std_first,0.0016990970160082395,extra_trees
roi_width_slope_first_last,0.001686616478809558,extra_trees
det_vy_accel_jerk_p25,0.0016854030028236565,extra_trees
det_dx_median,0.0016775259294979626,extra_trees
roi_width_auc,0.0016654908915993082,extra_trees
det_dy_delta,0.0016590345339887519,extra_trees
det_vy_accel_p10,0.0016553857649398685,extra_trees
flow_dy_norm_per_sec_p25,0.0016514057582031646,extra_trees
roi_available_first,0.001643259435968239,extra_trees
det_dx_abs_mean,0.0016412215482127222,extra_trees
det_speed_accel_auc,0.0016380030842501644,extra_trees
det_vy_accel_jerk_std,0.0016337959954367235,extra_trees
det_dy_p75,0.0016334736366642644,extra_trees
det_dx_p90,0.0016328532804668666,extra_trees
det_vy_norm_per_sec_first,0.0016271038187579614,extra_trees
flow_dy_accel_signed_auc,0.0016226172352541376,extra_trees
roi_width_delta,0.001621601959846386,extra_trees
flow_mag_accel_max,0.001617596139311191,extra_trees
det_speed_norm_per_sec_abs_mean,0.0016134953163001154,extra_trees
det_dy_range,0.0016070836869266616,extra_trees
det_speed_accel_jerk_median,0.001599519421826913,extra_trees
det_speed_accel_jerk_peak_to_mean,0.0015975492443336158,extra_trees
flow_mag_mean_per_sec_last,0.001589723912364632,extra_trees
flow_dy_norm_per_sec_peak_to_mean,0.0015803263773517102,extra_trees
det_speed_mean,0.001576016197556837,extra_trees
flow_mag_max_signed_auc,0.0015719165236875816,extra_trees
flow_dy_norm_per_sec_p90,0.001571253672173561,extra_trees
roi_height_last,0.0015684986423678015,extra_trees
roi_width_signed_auc,0.0015580779848479416,extra_trees
flow_mag_max_first,0.0015513899026965887,extra_trees
roi_height_p25,0.001549541056372628,extra_trees
flow_dx_norm_per_sec_peak_to_mean,0.0015489856097528633,extra_trees
det_speed_accel_jerk_first,0.0015447588175429069,extra_trees
roi_aspect_p75,0.001543346441776706,extra_trees
conf_a_p75,0.001542542636775884,extra_trees
roi_width_p75,0.001542299828179186,extra_trees
flow_dy_accel_delta,0.0015322998207569155,extra_trees
det_speed_norm_per_sec_abs_max,0.0015268329308155992,extra_trees
flow_mag_std_mean,0.0015267932320059772,extra_trees
roi_aspect_delta,0.001522946030668651,extra_trees
flow_mag_std_abs_mean,0.0015226692178393157,extra_trees
flow_dx_mean_per_sec_median,0.001510055923303794,extra_trees
det_speed_norm_per_sec_std,0.0015020694868896202,extra_trees
flow_mag_mean_per_sec_delta,0.0014955916639093653,extra_trees
flow_dy_mean_per_sec_p10,0.001493396596666529,extra_trees
det_dx_range,0.0014848229810870395,extra_trees
det_speed_slope_first_last,0.0014845931870718092,extra_trees
det_dy_abs_max,0.0014813043236209028,extra_trees
det_speed_signed_auc,0.0014745854842342216,extra_trees
conf_a_median,0.0014728091001957506,extra_trees
conf_b_peak_to_mean,0.0014722685751511378,extra_trees
flow_dy_norm_per_sec_last,0.0014719410443334885,extra_trees
det_dx_signed_auc,0.001470935064020961,extra_trees
roi_available_time_to_abs_peak,0.0014684682780260175,extra_trees
det_vy_accel_jerk_min,0.001466538505777374,extra_trees
flow_dy_mean_per_sec_median,0.001465328761359289,extra_trees
flow_dy_mean_per_sec_peak_to_mean,0.0014572911500828221,extra_trees
det_vy_norm_per_sec_last,0.0014435692040537448,extra_trees
flow_mag_mean_last,0.0014433869994712708,extra_trees
flow_dy_accel_first,0.0014328696299988177,extra_trees
flow_mag_max_mean,0.001431710334257419,extra_trees
det_speed_norm_per_sec_max,0.0014272650069569646,extra_trees
conf_b_p90,0.001426458509886684,extra_trees
flow_dx_norm_per_sec_first,0.001425559939438161,extra_trees
conf_b_energy,0.0014227832201910435,extra_trees
det_speed_norm_per_sec_slope_first_last,0.0014213895752017236,extra_trees
roi_height_slope_first_last,0.0014210193925003752,extra_trees
det_vy_accel_auc,0.0014162665453358548,extra_trees
roi_area_delta,0.0014144038209053132,extra_trees
flow_dy_mean_per_sec_mean,0.0014136161733164468,extra_trees
det_vy_accel_jerk_first,0.001411638482993185,extra_trees
flow_mag_mean_delta,0.0014108982981486649,extra_trees
det_dy_last,0.0014081823253579793,extra_trees
det_speed_delta,0.0014004420325913962,extra_trees
roi_aspect_p10,0.0013991505964841698,extra_trees
flow_dx_norm_per_sec_p75,0.0013979477467819337,extra_trees
