epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.10595,1.88849,3.32773,1.44888,0.08103,0.03448,0.04938,0.02974,1.56339,3.98456,1.29655,0.000657277,0.000657277,0.000657277
2,16.1578,1.75567,2.37792,1.4001,0.03178,0.60188,0.02574,0.01221,1.77798,9.79066,1.46891,0.00131084,0.00131084,0.00131084
3,22.9776,1.76079,1.83721,1.41035,0.70765,0.43251,0.51807,0.24834,1.90052,2.14418,1.51345,0.0019512,0.0019512,0.0019512
4,29.7735,1.74353,1.63213,1.40499,0.78805,0.5768,0.65918,0.30764,1.91258,2.06343,1.63639,0.0019406,0.0019406,0.0019406
5,36.5362,1.67727,1.38841,1.38871,0.85409,0.67398,0.73643,0.39386,1.69692,1.46825,1.45398,0.0019208,0.0019208,0.0019208
6,43.3041,1.66948,1.31117,1.36017,0.86272,0.69279,0.74823,0.43473,1.63806,1.31135,1.3725,0.001901,0.001901,0.001901
7,50.0489,1.60895,1.25814,1.33517,0.93047,0.71473,0.81349,0.43616,1.63811,1.20327,1.38151,0.0018812,0.0018812,0.0018812
8,56.7961,1.57763,1.25906,1.3067,0.906,0.68652,0.7959,0.43254,1.67401,1.22099,1.39087,0.0018614,0.0018614,0.0018614
9,63.5536,1.61782,1.18629,1.34321,0.92298,0.75136,0.83498,0.49931,1.5272,1.07834,1.33779,0.0018416,0.0018416,0.0018416
10,70.2983,1.5427,1.07195,1.29261,0.91499,0.72414,0.80172,0.46118,1.58772,1.14477,1.33884,0.0018218,0.0018218,0.0018218
11,77.0123,1.59976,1.08029,1.3053,0.92966,0.78716,0.87355,0.49827,1.59579,0.98392,1.35161,0.001802,0.001802,0.001802
12,83.766,1.58016,1.05402,1.32252,0.87614,0.79624,0.86928,0.51012,1.54141,0.9926,1.327,0.0017822,0.0017822,0.0017822
13,90.51,1.57569,1.03544,1.31384,0.93069,0.71558,0.83799,0.49028,1.58337,1.05761,1.34145,0.0017624,0.0017624,0.0017624
