epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.4775,0.8355,0.95556,1,0.99733,0.000237318,0.000237318,0.000237318
2,43.1177,0.3234,0.95043,1,0.97158,0.000470612,0.000470612,0.000470612
3,62.2224,0.24962,0.9641,1,0.96559,0.000699194,0.000699194,0.000699194
4,81.2307,0.1851,0.96581,1,0.96017,0.000692794,0.000692794,0.000692794
5,100.318,0.15831,0.95897,1,0.95251,0.000685726,0.000685726,0.000685726
6,119.42,0.13791,0.97094,1,0.94146,0.000678657,0.000678657,0.000678657
7,138.451,0.12431,0.96752,1,0.94567,0.000671588,0.000671588,0.000671588
8,157.513,0.11942,0.96239,1,0.94732,0.00066452,0.00066452,0.00066452
9,176.646,0.1095,0.96752,1,0.95346,0.000657451,0.000657451,0.000657451
10,195.792,0.09472,0.97778,1,0.93251,0.000650383,0.000650383,0.000650383
11,214.967,0.09567,0.96923,1,0.9457,0.000643314,0.000643314,0.000643314
12,234.085,0.09739,0.96581,1,0.94213,0.000636245,0.000636245,0.000636245
13,253.296,0.07699,0.96239,1,0.94028,0.000629177,0.000629177,0.000629177
14,272.547,0.07347,0.96752,1,0.94891,0.000622108,0.000622108,0.000622108
15,291.788,0.08241,0.97094,1,0.93729,0.00061504,0.00061504,0.00061504
16,311.024,0.06122,0.97436,1,0.93663,0.000607971,0.000607971,0.000607971
17,330.261,0.07614,0.9812,1,0.92871,0.000600902,0.000600902,0.000600902
18,349.513,0.06899,0.96923,1,0.93701,0.000593834,0.000593834,0.000593834
19,368.848,0.05805,0.97436,1,0.93663,0.000586765,0.000586765,0.000586765
20,388.04,0.06058,0.97436,1,0.9319,0.000579697,0.000579697,0.000579697
21,407.279,0.05272,0.97265,1,0.93334,0.000572628,0.000572628,0.000572628
22,426.647,0.05375,0.96752,1,0.93796,0.000565559,0.000565559,0.000565559
23,446.098,0.05072,0.98291,1,0.93452,0.000558491,0.000558491,0.000558491
24,465.336,0.05714,0.96752,1,0.94249,0.000551422,0.000551422,0.000551422
25,484.74,0.05054,0.96923,1,0.93483,0.000544354,0.000544354,0.000544354
26,504.04,0.05122,0.97436,1,0.93657,0.000537285,0.000537285,0.000537285
27,523.536,0.04412,0.97949,1,0.92725,0.000530216,0.000530216,0.000530216
28,543.211,0.04806,0.96752,1,0.93424,0.000523148,0.000523148,0.000523148
29,563.015,0.04563,0.97778,1,0.92812,0.000516079,0.000516079,0.000516079
30,583.11,0.03938,0.97778,1,0.92786,0.000509011,0.000509011,0.000509011
31,603.126,0.03831,0.97778,1,0.92858,0.000501942,0.000501942,0.000501942
32,623.221,0.03562,0.97094,1,0.9346,0.000494873,0.000494873,0.000494873
33,643.129,0.0477,0.97094,1,0.93393,0.000487805,0.000487805,0.000487805
34,663.057,0.04933,0.97436,1,0.93311,0.000480736,0.000480736,0.000480736
35,682.851,0.03929,0.9812,1,0.92627,0.000473668,0.000473668,0.000473668
36,702.882,0.03507,0.97949,1,0.9294,0.000466599,0.000466599,0.000466599
37,722.851,0.03612,0.97949,1,0.92745,0.00045953,0.00045953,0.00045953
38,742.699,0.03435,0.9812,1,0.93352,0.000452462,0.000452462,0.000452462
39,762.685,0.03052,0.97949,1,0.92694,0.000445393,0.000445393,0.000445393
40,782.622,0.035,0.97436,1,0.93007,0.000438325,0.000438325,0.000438325
41,802.68,0.02534,0.97265,1,0.93023,0.000431256,0.000431256,0.000431256
42,822.749,0.02654,0.98291,1,0.92701,0.000424187,0.000424187,0.000424187
43,842.781,0.04572,0.97949,1,0.9311,0.000417119,0.000417119,0.000417119
44,862.847,0.02636,0.98291,1,0.9257,0.00041005,0.00041005,0.00041005
45,882.711,0.02939,0.9812,1,0.92558,0.000402982,0.000402982,0.000402982
46,902.546,0.02382,0.97607,1,0.92745,0.000395913,0.000395913,0.000395913
47,922.529,0.02871,0.97778,1,0.92791,0.000388844,0.000388844,0.000388844
48,942.431,0.02266,0.97949,1,0.93056,0.000381776,0.000381776,0.000381776
49,962.357,0.02183,0.9812,1,0.92429,0.000374707,0.000374707,0.000374707
50,982.305,0.02268,0.9812,1,0.92432,0.000367639,0.000367639,0.000367639
51,1002.3,0.01982,0.97949,1,0.92833,0.00036057,0.00036057,0.00036057
52,1022.15,0.02019,0.98291,1,0.92624,0.000353501,0.000353501,0.000353501
53,1042.12,0.01855,0.98291,1,0.9255,0.000346433,0.000346433,0.000346433
54,1062.05,0.02095,0.9812,1,0.92488,0.000339364,0.000339364,0.000339364
55,1082,0.02288,0.97949,1,0.9302,0.000332296,0.000332296,0.000332296
56,1101.94,0.02126,0.9812,1,0.92439,0.000325227,0.000325227,0.000325227
57,1121.87,0.01854,0.9812,1,0.92331,0.000318158,0.000318158,0.000318158
58,1141.85,0.01468,0.97949,1,0.92486,0.00031109,0.00031109,0.00031109
59,1161.72,0.01577,0.97778,1,0.93177,0.000304021,0.000304021,0.000304021
60,1181.71,0.01462,0.97949,1,0.92565,0.000296953,0.000296953,0.000296953
61,1201.66,0.0187,0.9812,1,0.92601,0.000289884,0.000289884,0.000289884
62,1221.6,0.01871,0.97778,1,0.92591,0.000282815,0.000282815,0.000282815
63,1241.5,0.02146,0.97949,1,0.92416,0.000275747,0.000275747,0.000275747
64,1261.34,0.01532,0.9812,1,0.92406,0.000268678,0.000268678,0.000268678
65,1281.31,0.01321,0.97949,1,0.92645,0.00026161,0.00026161,0.00026161
66,1301.32,0.01556,0.97778,1,0.92676,0.000254541,0.000254541,0.000254541
67,1321.39,0.0128,0.9812,1,0.92403,0.000247472,0.000247472,0.000247472
68,1341.27,0.0156,0.97949,1,0.92563,0.000240404,0.000240404,0.000240404
69,1361.37,0.01653,0.98803,1,0.92498,0.000233335,0.000233335,0.000233335
70,1381.23,0.01406,0.97949,1,0.92401,0.000226267,0.000226267,0.000226267
71,1401.24,0.01364,0.97949,1,0.92414,0.000219198,0.000219198,0.000219198
72,1421.22,0.01211,0.97949,1,0.9338,0.000212129,0.000212129,0.000212129
73,1441.16,0.01222,0.97778,1,0.92642,0.000205061,0.000205061,0.000205061
74,1461.39,0.01506,0.97778,1,0.92617,0.000197992,0.000197992,0.000197992
75,1481.32,0.01332,0.98291,1,0.92301,0.000190924,0.000190924,0.000190924
76,1501.18,0.02252,0.98462,1,0.92331,0.000183855,0.000183855,0.000183855
77,1521.04,0.01573,0.97949,1,0.92676,0.000176786,0.000176786,0.000176786
78,1540.92,0.01093,0.98291,1,0.92504,0.000169718,0.000169718,0.000169718
79,1561.03,0.01087,0.9812,1,0.92642,0.000162649,0.000162649,0.000162649
80,1580.95,0.01017,0.98462,1,0.92534,0.000155581,0.000155581,0.000155581
81,1600.95,0.00999,0.9812,1,0.92427,0.000148512,0.000148512,0.000148512
82,1620.93,0.00993,0.98291,1,0.92321,0.000141443,0.000141443,0.000141443
83,1640.9,0.01047,0.9812,1,0.92406,0.000134375,0.000134375,0.000134375
84,1660.73,0.01015,0.9812,1,0.92383,0.000127306,0.000127306,0.000127306
85,1680.95,0.01133,0.9812,1,0.92563,0.000120238,0.000120238,0.000120238
86,1700.96,0.01205,0.97949,1,0.92321,0.000113169,0.000113169,0.000113169
87,1720.89,0.01097,0.9812,1,0.92568,0.0001061,0.0001061,0.0001061
88,1740.85,0.00746,0.97949,1,0.92465,9.90318e-05,9.90318e-05,9.90318e-05
89,1760.83,0.00798,0.97949,1,0.93038,9.19632e-05,9.19632e-05,9.19632e-05
90,1780.8,0.00595,0.97949,1,0.92432,8.48946e-05,8.48946e-05,8.48946e-05
91,1801.4,0.00773,0.9812,1,0.92275,7.7826e-05,7.7826e-05,7.7826e-05
92,1821.19,0.00829,0.98291,1,0.92385,7.07574e-05,7.07574e-05,7.07574e-05
93,1840.93,0.00868,0.98291,1,0.92321,6.36888e-05,6.36888e-05,6.36888e-05
94,1860.69,0.0092,0.98291,1,0.92414,5.66202e-05,5.66202e-05,5.66202e-05
95,1880.67,0.00582,0.98462,1,0.9247,4.95516e-05,4.95516e-05,4.95516e-05
96,1901.52,0.00739,0.98462,1,0.92223,4.2483e-05,4.2483e-05,4.2483e-05
97,1922.35,0.00716,0.98462,1,0.92205,3.54144e-05,3.54144e-05,3.54144e-05
98,1942.31,0.00616,0.98462,1,0.92624,2.83458e-05,2.83458e-05,2.83458e-05
99,1962.21,0.00672,0.98291,1,0.92665,2.12772e-05,2.12772e-05,2.12772e-05
100,1982.13,0.00669,0.9812,1,0.9229,1.42086e-05,1.42086e-05,1.42086e-05
