epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.81835,1.17062,0.74768,0.97032,1.54343,0.000235983,0.000235983,0.000235983
2,17.9019,0.63682,0.83488,0.98701,1.53734,0.000469291,0.000469291,0.000469291
3,25.399,0.52653,0.85158,0.99258,1.49977,0.000697886,0.000697886,0.000697886
4,32.7264,0.48817,0.84787,0.99443,1.47105,0.000692794,0.000692794,0.000692794
5,40.0951,0.45183,0.84787,0.99443,1.44738,0.000685726,0.000685726,0.000685726
6,47.3598,0.39199,0.85714,0.99629,1.44882,0.000678657,0.000678657,0.000678657
7,54.6834,0.36962,0.86827,0.99443,1.48374,0.000671588,0.000671588,0.000671588
8,61.967,0.33153,0.84787,0.99258,1.48438,0.00066452,0.00066452,0.00066452
9,69.2443,0.32218,0.84972,0.99258,1.46932,0.000657451,0.000657451,0.000657451
10,76.5107,0.30175,0.87013,0.99629,1.42682,0.000650383,0.000650383,0.000650383
11,83.7663,0.28468,0.86456,0.99258,1.43578,0.000643314,0.000643314,0.000643314
12,91.2716,0.26505,0.84416,0.99629,1.4518,0.000636245,0.000636245,0.000636245
13,98.6185,0.28312,0.84416,0.99443,1.46036,0.000629177,0.000629177,0.000629177
14,105.914,0.27675,0.83673,0.99072,1.46433,0.000622108,0.000622108,0.000622108
15,113.196,0.25268,0.8757,0.99443,1.41963,0.00061504,0.00061504,0.00061504
16,120.494,0.23474,0.86827,0.99258,1.43756,0.000607971,0.000607971,0.000607971
17,127.775,0.20911,0.86827,0.99258,1.42233,0.000600902,0.000600902,0.000600902
18,135.078,0.2077,0.859,0.99443,1.42676,0.000593834,0.000593834,0.000593834
19,142.366,0.1991,0.82931,0.99443,1.46381,0.000586765,0.000586765,0.000586765
20,149.794,0.18701,0.88312,0.99072,1.42337,0.000579697,0.000579697,0.000579697
21,157.233,0.19118,0.87384,0.99629,1.4159,0.000572628,0.000572628,0.000572628
22,164.558,0.18696,0.83302,0.99258,1.44514,0.000565559,0.000565559,0.000565559
23,171.881,0.1752,0.87384,0.99443,1.4259,0.000558491,0.000558491,0.000558491
24,179.189,0.14938,0.86456,0.99258,1.42096,0.000551422,0.000551422,0.000551422
